epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16256,2.29904,4.37355,1.82275,0.28847,0.1875,0.09151,0.04089,2.01214,2.86119,1.64099,0.000333333,0.000333333,0.000333333
2,10.0351,2.14146,3.17306,1.77432,0.58319,0.25,0.32816,0.15537,2.12045,2.22625,1.72258,0.000934,0.000934,0.000934
3,14.7544,2.41797,3.28006,1.78309,0.58319,0.25,0.32816,0.15537,2.12045,2.22625,1.72258,0.00144667,0.00144667,0.00144667
4,19.4581,2.05702,2.57565,1.64167,0.77293,0.4375,0.45383,0.14639,2.5662,2.64028,1.93622,0.001604,0.001604,0.001604
5,24.1523,2.15395,2.35756,1.67255,0.77293,0.4375,0.45383,0.14639,2.5662,2.64028,1.93622,0.001472,0.001472,0.001472
6,28.8785,2.21741,2.48833,1.71701,0.71696,0.375,0.37948,0.16358,2.58167,3.51841,2.01271,0.00134,0.00134,0.00134
7,33.6694,2.24353,2.53485,1.64988,0.71696,0.375,0.37948,0.16358,2.58167,3.51841,2.01271,0.001208,0.001208,0.001208
8,38.48,2.26611,2.63995,1.63219,0.7721,0.42473,0.43377,0.20311,2.50334,3.19947,1.99395,0.001076,0.001076,0.001076
9,43.1653,2.0953,2.62657,1.63585,0.7721,0.42473,0.43377,0.20311,2.50334,3.19947,1.99395,0.000944,0.000944,0.000944
10,47.7725,2.12392,2.36166,1.62577,0.74558,0.5625,0.54833,0.20592,2.42765,2.68962,1.92861,0.000812,0.000812,0.000812
11,52.4129,2.25007,2.41127,1.62382,0.74558,0.5625,0.54833,0.20592,2.42765,2.68962,1.92861,0.00068,0.00068,0.00068
12,57.2268,1.9706,2.55665,1.51578,0.73879,0.53168,0.5432,0.19974,2.43985,2.38199,1.91714,0.000548,0.000548,0.000548
13,61.9495,2.17979,2.27605,1.51748,0.73879,0.53168,0.5432,0.19974,2.43985,2.38199,1.91714,0.000416,0.000416,0.000416
14,66.655,2.0892,2.44628,1.51916,0.7388,0.5,0.54449,0.1893,2.47291,2.22912,1.92418,0.000284,0.000284,0.000284
15,71.3068,2.11352,2.37076,1.64044,0.7388,0.5,0.54449,0.1893,2.47291,2.22912,1.92418,0.000152,0.000152,0.000152
